Date,mlat,mlt,X,Y,Z,F
2024-05-10 00:00:00,43.5,22.8775,-16.5164,-11.8621,0,20.5221
2024-05-10 00:01:00,43.5,22.8936,20.0246,-3.40155,0,20.5121
2024-05-10 00:02:00,43.5,22.9096,21.018,-2.89797,0,21.4548
2024-05-10 00:03:00,43.5,22.9256,20.6872,-2.64491,0,21.1153
2024-05-10 00:04:00,43.5,22.9416,21.0975,-2.58736,0,21.5358
2024-05-10 00:05:00,43.5,22.9576,21.2002,-2.37936,0,21.6317
2024-05-10 00:06:00,43.5,22.9737,21.5225,-2.12194,0,21.9394
2024-05-10 00:07:00,43.5,22.9897,21.8222,-1.88976,0,22.2433
2024-05-10 00:08:00,43.4791,11.0062,12.9849,2.26834,0,15.7265
2024-05-10 00:09:00,43.4791,11.0222,12.7244,2.24764,0,15.5431
2024-05-10 00:10:00,43.4791,11.0381,12.5738,2.17714,0,15.4328
2024-05-10 00:11:00,43.4791,11.0541,12.4448,2.11021,0,15.3813
2024-05-10 00:12:00,43.4791,11.0701,12.0124,1.92121,0,14.9617
2024-05-10 00:13:00,43.4791,11.086,12.1455,1.94821,0,15.0926
2024-05-10 00:14:00,43.4791,11.102,12.1262,1.91292,0,15.1381
2024-05-10 00:15:00,43.4791,11.1179,12.5561,1.42562,0,14.9677
2024-05-10 00:16:00,43.4791,11.1338,12.5741,1.26401,0,15.0421
2024-05-10 00:17:00,43.4791,11.1498,12.504,1.33588,0,14.9909
2024-05-10 00:18:00,43.4791,11.1657,12.3302,1.35673,0,14.868
2024-05-10 00:19:00,43.4791,11.1816,12.2721,1.27804,0,14.8115
2024-05-10 00:20:00,43.4791,11.1975,12.2508,1.15679,0,14.738
2024-05-10 00:21:00,43.4791,11.2134,12.1127,1.06328,0,14.6175
2024-05-10 00:22:00,43.4791,11.2293,11.7357,1.08387,0,14.2439
2024-05-10 00:23:00,43.4791,11.2452,11.5144,1.02729,0,14.012
2024-05-10 00:24:00,43.4791,11.2611,11.3323,0.965208,0,13.8169
2024-05-10 00:25:00,43.4791,11.2769,11.2168,0.963702,0,13.7208
2024-05-10 00:26:00,43.4791,11.2928,10.9475,0.929481,0,13.4381
2024-05-10 00:27:00,43.4791,11.3087,10.5745,1.01783,0,13.0684
2024-05-10 00:28:00,43.4791,11.3245,10.2939,0.872383,0,12.8408
2024-05-10 00:29:00,43.4791,11.3404,10.3336,0.804758,0,12.8938
2024-05-10 00:30:00,43.4791,11.3562,10.3138,0.680364,0,12.813
2024-05-10 00:31:00,43.4791,11.372,10.0225,0.514989,0,12.7672
2024-05-10 00:32:00,43.4791,11.3879,9.826,0.509364,0,12.5843
2024-05-10 00:33:00,43.4791,11.4037,9.62633,0.418509,0,12.4071
2024-05-10 00:34:00,43.4791,11.4195,9.34481,0.365156,0,12.1543
2024-05-10 00:35:00,43.4791,11.4353,9.07835,0.320974,0,11.9442
2024-05-10 00:36:00,43.4791,11.4511,8.97989,0.315348,0,11.7698
2024-05-10 00:37:00,43.4791,11.4669,8.83592,0.227352,0,11.6507
2024-05-10 00:38:00,43.4791,11.4827,8.7798,0.249206,0,11.5905
2024-05-10 00:39:00,43.4791,11.4985,8.77795,0.288843,0,11.6167
2024-05-10 00:40:00,43.4791,11.5143,9.04934,0.21744,0,11.7735
2024-05-10 00:41:00,43.4791,11.5301,9.24199,0.258161,0,12.0879
2024-05-10 00:42:00,43.4791,11.5459,9.47064,0.574812,0,12.5404
2024-05-10 00:43:00,43.4791,11.5616,9.52943,0.610075,0,12.6951
2024-05-10 00:44:00,43.4791,11.5774,9.55231,0.560093,0,12.6833
2024-05-10 00:45:00,43.4791,11.5931,9.51473,0.569689,0,12.7219
2024-05-10 00:46:00,43.4791,11.6089,9.40416,0.728885,0,12.6649
2024-05-10 00:47:00,43.4791,11.6246,9.26079,0.784487,0,12.4549
2024-05-10 00:48:00,43.4791,11.6404,9.15826,0.727617,0,12.2651
2024-05-10 00:49:00,43.4791,11.6561,9.06572,0.762235,0,12.1295
2024-05-10 00:50:00,43.4791,11.6719,9.13839,0.766072,0,12.1351
2024-05-10 00:51:00,43.4791,11.6876,9.18663,0.979364,0,12.2307
2024-05-10 00:52:00,43.4791,11.7033,9.01439,1.17543,0,12.0926
2024-05-10 00:53:00,43.4791,11.719,8.78162,1.27755,0,11.8845
2024-05-10 00:54:00,43.4791,11.7348,8.53312,1.0874,0,11.7372
2024-05-10 00:55:00,43.4791,11.7505,8.3639,1.02032,0,11.615
2024-05-10 00:56:00,43.4791,11.7662,8.36092,0.979652,0,11.5957
2024-05-10 00:57:00,43.4791,11.7819,8.3176,0.984506,0,11.6265
2024-05-10 00:58:00,43.4791,11.7976,8.12118,0.97813,0,11.4828
2024-05-10 00:59:00,43.4791,11.8133,8.16594,0.91081,0,11.4212
2024-05-10 01:00:00,43.4791,11.829,7.91905,0.941871,0,11.3052
2024-05-10 01:01:00,43.4791,11.8447,7.89194,0.99786,0,11.3386
2024-05-10 01:02:00,43.4791,11.8604,7.59992,1.0557,0,11.1455
2024-05-10 01:03:00,43.4791,11.876,7.46476,1.00496,0,11.1019
2024-05-10 01:04:00,43.4791,11.8917,7.18821,1.03662,0,10.8946
2024-05-10 01:05:00,43.4791,11.9074,6.85652,1.09482,0,10.7415
2024-05-10 01:06:00,43.4791,11.9231,6.68368,1.10177,0,10.6987
2024-05-10 01:07:00,43.4791,11.9388,6.55752,1.09935,0,10.6531
2024-05-10 01:08:00,43.4791,11.9544,6.65796,1.09596,0,10.7325
2024-05-10 01:09:00,43.4791,11.9701,6.9084,1.29054,0,11.0856
2024-05-10 01:10:00,43.4791,11.9858,6.83471,1.34821,0,11.1056
2024-05-10 01:11:00,43.4791,12.0014,6.86041,1.47733,0,11.2285
2024-05-10 01:12:00,43.4791,12.0171,7.0239,1.94184,0,11.4695
2024-05-10 01:13:00,43.4791,12.0328,6.85205,2.01919,0,11.3906
2024-05-10 01:14:00,43.4791,12.0484,6.88929,2.02395,0,11.4742
2024-05-10 01:15:00,43.4791,12.0641,6.87706,2.15836,0,11.5148
2024-05-10 01:16:00,43.4791,12.0797,6.88353,2.14704,0,11.6775
2024-05-10 01:17:00,43.4791,12.0954,6.94613,2.35824,0,11.949
2024-05-10 01:18:00,43.4791,12.111,6.64182,2.55036,0,11.9178
2024-05-10 01:19:00,43.4791,12.1267,6.72338,2.61248,0,12.202
2024-05-10 01:20:00,43.4791,12.1424,6.57985,2.55717,0,12.1574
