Date,mlat,mlt,X,Y,Z,F
2024-05-10 00:00:00,45.4826,12.1457,-5.27969,-8.99189,0,12.9524
2024-05-10 00:01:00,45.4826,12.1617,9.67957,2.53145,0,12.4676
2024-05-10 00:02:00,45.4826,12.1778,9.76716,2.75126,0,12.8353
2024-05-10 00:03:00,45.4826,12.1938,9.71177,2.62979,0,12.7197
2024-05-10 00:04:00,45.4826,12.2098,9.67636,2.63921,0,12.7895
2024-05-10 00:05:00,45.4826,12.2258,9.39658,2.71166,0,12.6872
2024-05-10 00:06:00,45.4826,12.2418,9.61137,2.92294,0,13.1683
2024-05-10 00:07:00,45.4826,12.2578,9.50415,2.96476,0,13.2125
2024-05-10 00:08:00,45.4826,12.2738,9.23606,2.94259,0,13.1096
2024-05-10 00:09:00,45.4826,12.2898,8.95453,2.94724,0,13.0093
2024-05-10 00:10:00,45.4826,12.3058,8.74394,2.83831,0,12.9285
2024-05-10 00:11:00,45.4826,12.3217,8.47582,2.73766,0,12.8645
2024-05-10 00:12:00,45.4826,12.3377,7.99642,2.48319,0,12.4606
2024-05-10 00:13:00,45.4826,12.3537,8.00201,2.41469,0,12.5422
2024-05-10 00:14:00,45.4826,12.3696,7.95359,2.37796,0,12.5824
2024-05-10 00:15:00,45.4826,12.3855,8.94262,1.32224,0,11.9585
2024-05-10 00:16:00,45.4826,12.4015,8.81128,1.03728,0,11.9186
2024-05-10 00:17:00,45.4826,12.4174,8.67,0.967375,0,11.8166
2024-05-10 00:18:00,45.4826,12.4333,8.42882,0.908007,0,11.7601
2024-05-10 00:19:00,45.4826,12.4492,8.3887,0.823242,0,11.75
2024-05-10 00:20:00,45.4826,12.4651,8.31694,0.659554,0,11.6965
2024-05-10 00:21:00,45.4826,12.481,8.17302,0.480936,0,11.6561
2024-05-10 00:22:00,45.4826,12.4969,7.8256,0.449781,0,11.4861
2024-05-10 00:23:00,45.4826,12.5128,7.61282,0.2825,0,11.349
2024-05-10 00:24:00,45.4826,12.5287,7.35967,0.170373,0,11.1313
2024-05-10 00:25:00,45.4826,12.5446,7.22194,0.0516819,0,11.0531
2024-05-10 00:26:00,45.4826,12.5604,6.95667,0.0104739,0,10.7281
2024-05-10 00:27:00,45.4826,12.5763,6.61933,0.0803718,0,10.414
