Time,V(v),E.Y,E.Y.00,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.X,E.X.00,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,Vt(v),U0,U1
1989-03-12 00:00:00,-6.22396,-33.1024,-7.18902,-3.3244,0.49388,0.84767,0.573605,0.803293,0.485063,-1.9284,-23.8641,17.0428,2.79112,0.719198,1.19526,1.65441,1.32994,1.65139,3.20957,0.717997,3.77389,-0.810995,-0.941145,1.251,0.402454,0.632327,0.609844,1.05477,-1.84884,-6.57338,-8.52396,-1.42,0.88
1989-03-12 00:01:00,-7.24392,-34.7739,-7.72237,-3.33926,0.378193,0.627314,0.426962,0.57939,-0.339091,-2.00495,-23.3801,16.2988,1.16864,0.219759,1.21707,1.68468,1.35377,1.68054,3.24622,0.79452,4.93361,-1.03569,-1.03908,1.04808,0.349464,0.565235,0.531227,0.287756,-1.91508,-6.03583,-9.00392,-1.11,0.65
1989-03-12 00:02:00,-12.9027,-44.2072,-8.0329,-3.74838,-0.277228,-0.285895,-0.315304,-0.348211,-2.80811,-2.4767,-25.9145,14.7996,-1.77475,-0.747265,1.25262,1.72628,1.39059,1.72107,3.29002,0.987685,6.95332,-1.34625,-1.35174,-0.127836,0.120448,0.203861,0.190543,-2.0224,-2.36475,-6.20457,-13.1427,-0.05,0.19
1989-03-12 00:03:00,-17.303,-48.4237,-8.21813,-3.83286,-1.03884,-1.23877,-1.13612,-1.30696,-4.96534,-2.674,-24.0127,12.6357,-2.58088,-1.29275,1.19709,1.62,1.31677,1.60916,2.82073,1.10278,6.84283,-1.4461,-1.48078,-1.52319,-0.135301,-0.225526,-0.19029,-4.13559,-2.5477,-5.6185,-16.053,1.07,-0.18
1989-03-12 00:04:00,-17.283,-42.6876,-7.28981,-3.73934,-1.42254,-1.61482,-1.50874,-1.67095,-5.179,-2.47683,-17.7856,10.1113,-0.590415,-0.801099,0.954979,1.28859,1.04295,1.27055,1.9055,0.968949,4.07132,-1.12997,-1.35885,-2.29012,-0.268695,-0.482909,-0.390147,-4.50711,-2.36767,-4.4875,-15.393,1.63,-0.26
1989-03-12 00:05:00,-10.4891,-29.3822,-7.21872,-3.66073,-0.912341,-0.795811,-0.882811,-0.81846,-2.27768,-1.96357,-10.8521,10.8077,2.55891,0.334695,0.792134,1.11294,0.877185,1.09543,1.61526,0.753056,1.66808,-0.836265,-1.12163,-1.41511,-0.0788205,-0.213191,-0.102789,-1.83706,-1.87928,-3.00492,-9.67906,0.86,0.05
1989-03-12 00:06:00,-3.8596,-18.8187,-5.37384,-3.27095,-0.0030371,0.354817,0.111714,0.352355,0.604501,-1.79577,-9.79847,11.9602,2.89061,0.714616,0.86515,1.24568,0.97269,1.23437,2.13104,0.660167,1.24593,-0.533903,-0.924709,0.252841,0.230499,0.308644,0.362704,0.965526,-1.72294,-2.79827,-4.7796,-0.52,0.4
1989-03-12 00:07:00,-0.145274,-13.1333,-4.70011,-2.84237,0.498593,0.913261,0.627727,0.912272,1.68989,-1.7312,-8.5014,13.8901,2.72293,0.675207,1.09042,1.53777,1.2219,1.53161,2.84928,0.659622,1.60132,-0.449455,-0.793438,1.22823,0.406158,0.631293,0.628399,2.11879,-1.65753,-2.25771,-2.14527,-1.45,0.55
1989-03-12 00:08:00,-0.537814,-13.5085,-5.10057,-3.00654,0.547676,0.908229,0.653165,0.899547,1.39887,-1.69232,-8.1166,12.8264,2.89998,0.754262,1.07494,1.43647,1.17555,1.42174,2.19644,0.655584,1.21148,-0.492692,-0.831796,1.31246,0.393508,0.631958,0.603112,1.72363,-1.6187,-2.25929,-2.32781,-1.31,0.48
1989-03-12 00:09:00,-1.54098,-14.6792,-7.25787,-3.63906,0.588878,1.01936,0.716308,1.01532,1.96089,-1.65136,-7.43168,7.66489,4.46639,1.2304,0.544193,0.675146,0.563934,0.642347,-0.0571687,0.489328,-0.889684,-0.670516,-0.947592,1.22857,0.336563,0.504547,0.501088,1.83053,-1.60193,-2.72225,-2.29098,-0.38,0.37
1989-03-12 00:10:00,0.0305962,-12.7458,-7.42536,-4.03495,1.07255,1.68943,1.26468,1.69768,3.78319,-1.75646,-9.0366,4.53815,6.57525,2.05451,-0.163086,-0.216453,-0.204113,-0.259332,-2.16816,0.376834,-1.45731,-0.505615,-0.921964,1.89298,0.408029,0.578971,0.58895,3.14745,-1.72528,-3.43292,-0.469404,-0.25,0.25
1989-03-12 00:11:00,2.61493,-7.16297,-6.41431,-3.68286,1.57268,2.2961,1.79774,2.30765,5.08747,-1.80637,-8.32106,2.90824,7.72948,2.64117,-0.514029,-0.578007,-0.552064,-0.614775,-2.61376,0.250136,-2.83991,-0.252463,-0.698685,2.69359,0.52272,0.754928,0.751596,4.28892,-1.79478,-3.6509,1.60493,-0.66,0.35
1989-03-12 00:12:00,3.04999,-6.33038,-5.33652,-3.40897,1.64791,2.27525,1.83454,2.27265,4.41328,-1.79722,-8.2313,5.09259,6.73996,2.5596,-0.339715,-0.258341,-0.322128,-0.277573,-1.27567,0.197847,-1.93139,-0.182231,-0.625309,2.88183,0.553237,0.833079,0.801402,3.90573,-1.79328,-3.32447,1.52999,-1.13,0.39
1989-03-12 00:13:00,1.90379,-7.69808,-4.3743,-3.02254,1.13643,1.5541,1.24604,1.53204,2.31129,-1.74228,-6.33887,9.71557,3.70001,1.65685,0.31781,0.650055,0.424556,0.65285,1.33954,0.364831,0.609073,-0.31346,-0.668661,2.15222,0.470582,0.733052,0.69704,2.42036,-1.71268,-1.87467,0.193785,-1.41,0.3
1989-03-12 00:14:00,1.32592,-8.37102,-3.1246,-2.63318,0.670602,0.998489,0.751211,0.970676,1.0678,-1.61624,-5.45578,13.1766,0.93366,0.583097,0.981535,1.44718,1.13181,1.45737,3.08805,0.571189,2.98273,-0.377617,-0.742951,1.50711,0.417807,0.669587,0.636468,1.57924,-1.55411,-0.809621,-0.554084,-1.63,0.25
1989-03-12 00:15:00,0.922365,-8.99057,-3.93891,-2.66748,0.564421,0.934379,0.663028,0.912848,1.24753,-1.61655,-5.08983,13.2458,2.19515,0.669578,1.11933,1.51686,1.24027,1.51676,2.76807,0.614736,1.60506,-0.384469,-0.737921,1.35603,0.409216,0.65371,0.625844,1.68826,-1.54794,-1.14037,-1.00764,-1.54,0.39
1989-03-12 00:16:00,0.346099,-10.1148,-7.17755,-3.72149,0.843903,1.33982,0.988546,1.32972,2.48015,-1.56296,-4.63497,9.42092,6.68616,2.14521,0.794293,1.04913,0.862291,1.03529,1.35657,0.189764,-4.69779,-0.459034,-0.803666,1.76493,0.460507,0.718144,0.692473,2.58209,-1.5569,-3.05245,-1.6339,-1.06,0.92
1989-03-12 00:17:00,0.165406,-11.358,-11.4639,-5.27577,1.22543,1.82071,1.40375,1.81735,3.63873,-1.48573,-3.03863,5.27984,10.0369,3.57663,0.460846,0.64693,0.505985,0.628286,0.439418,-0.408072,-10.6071,-0.790908,-1.03946,2.35605,0.538454,0.833032,0.799567,3.4987,-1.56763,-4.4624,-1.68459,-0.47,1.38
1989-03-12 00:18:00,-0.914197,-13.265,-12.1503,-6.0089,1.27676,1.77449,1.41904,1.75991,2.95678,-1.37436,-2.91847,4.26359,9.84184,3.90901,0.412933,0.654044,0.479192,0.6419,0.792789,-0.758703,-11.7094,-0.909842,-1.21461,2.43466,0.527423,0.833712,0.780543,2.92436,-1.50691,-4.78353,-2.6342,-0.25,1.47
1989-03-12 00:19:00,-3.60785,-16.3292,-9.32357,-5.27529,0.678026,0.932639,0.732927,0.898551,0.587183,-1.49361,-4.06607,6.70612,6.35575,2.95745,0.766172,1.14889,0.883759,1.14825,2.17027,-0.688008,-8.03641,-0.805765,-1.15477,1.45624,0.367502,0.595979,0.551686,0.956591,-1.61733,-3.95799,-4.98785,-0.28,1.1
