 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
1989-03-03 22:00:00.000 062       425.00    215.00   -209.00      2.00
1989-03-03 23:00:00.000 062       281.00    151.00   -128.00     11.00
1989-03-04 00:00:00.000 063       242.00     96.00   -145.00    -24.00
1989-03-04 01:00:00.000 063       341.00    139.00   -200.00    -30.00
1989-03-04 02:00:00.000 063       232.00    171.00    -60.00     55.00
1989-03-04 03:00:00.000 063       102.00     93.00     -7.00     42.00
1989-03-04 04:00:00.000 063        77.00     62.00    -14.00     23.00
1989-03-04 05:00:00.000 063       108.00     93.00    -14.00     38.00
1989-03-04 06:00:00.000 063       185.00    104.00    -80.00     11.00
1989-03-04 07:00:00.000 063       233.00    153.00    -78.00     36.00
1989-03-04 08:00:00.000 063       233.00    176.00    -55.00     60.00
1989-03-04 09:00:00.000 063       352.00    124.00   -227.00    -50.00
1989-03-04 10:00:00.000 063       312.00    156.00   -155.00      0.00
1989-03-04 11:00:00.000 063       589.00    240.00   -348.00    -53.00
1989-03-04 12:00:00.000 063       476.00    232.00   -243.00     -5.00
1989-03-04 13:00:00.000 063       540.00    173.00   -366.00    -95.00
1989-03-04 14:00:00.000 063       501.00    181.00   -318.00    -67.00
1989-03-04 15:00:00.000 063       141.00     71.00    -69.00      1.00
1989-03-04 16:00:00.000 063       137.00     85.00    -51.00     16.00
1989-03-04 17:00:00.000 063        54.00     37.00    -16.00     10.00
1989-03-04 18:00:00.000 063        48.00     20.00    -28.00     -3.00
1989-03-04 19:00:00.000 063        29.00     21.00     -7.00      6.00
1989-03-04 20:00:00.000 063        38.00     30.00     -8.00     10.00
1989-03-04 21:00:00.000 063        39.00     34.00     -4.00     14.00
1989-03-04 22:00:00.000 063        51.00     38.00    -12.00     12.00
1989-03-04 23:00:00.000 063        62.00     43.00    -19.00     11.00
1989-03-05 00:00:00.000 064        83.00     59.00    -24.00     16.00
