 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1989-03-01 00:00:00.000 060       -11.00
1989-03-01 01:00:00.000 060       -19.00
1989-03-01 02:00:00.000 060       -21.00
1989-03-01 03:00:00.000 060       -19.00
1989-03-01 04:00:00.000 060       -23.00
1989-03-01 05:00:00.000 060       -20.00
1989-03-01 06:00:00.000 060       -18.00
1989-03-01 07:00:00.000 060       -18.00
1989-03-01 08:00:00.000 060       -18.00
1989-03-01 09:00:00.000 060       -16.00
1989-03-01 10:00:00.000 060       -10.00
1989-03-01 11:00:00.000 060        -4.00
1989-03-01 12:00:00.000 060        -5.00
1989-03-01 13:00:00.000 060        -3.00
1989-03-01 14:00:00.000 060        -2.00
1989-03-01 15:00:00.000 060        -1.00
1989-03-01 16:00:00.000 060        -3.00
1989-03-01 17:00:00.000 060         2.00
1989-03-01 18:00:00.000 060         5.00
1989-03-01 19:00:00.000 060         8.00
1989-03-01 20:00:00.000 060         4.00
1989-03-01 21:00:00.000 060         3.00
1989-03-01 22:00:00.000 060         0.00
1989-03-01 23:00:00.000 060        -4.00
1989-03-02 00:00:00.000 061        -3.00
1989-03-02 01:00:00.000 061         6.00
1989-03-02 02:00:00.000 061         8.00
1989-03-02 03:00:00.000 061         8.00
1989-03-02 04:00:00.000 061       -18.00
1989-03-02 05:00:00.000 061       -42.00
1989-03-02 06:00:00.000 061       -39.00
1989-03-02 07:00:00.000 061       -34.00
1989-03-02 08:00:00.000 061       -40.00
1989-03-02 09:00:00.000 061       -44.00
1989-03-02 10:00:00.000 061       -55.00
1989-03-02 11:00:00.000 061       -48.00
1989-03-02 12:00:00.000 061       -33.00
1989-03-02 13:00:00.000 061       -33.00
1989-03-02 14:00:00.000 061       -44.00
1989-03-02 15:00:00.000 061       -44.00
1989-03-02 16:00:00.000 061       -45.00
1989-03-02 17:00:00.000 061       -44.00
1989-03-02 18:00:00.000 061       -50.00
1989-03-02 19:00:00.000 061       -55.00
1989-03-02 20:00:00.000 061       -54.00
1989-03-02 21:00:00.000 061       -44.00
1989-03-02 22:00:00.000 061       -49.00
1989-03-02 23:00:00.000 061       -45.00
1989-03-03 00:00:00.000 062       -40.00
1989-03-03 01:00:00.000 062       -37.00
1989-03-03 02:00:00.000 062       -42.00
1989-03-03 03:00:00.000 062       -43.00
1989-03-03 04:00:00.000 062       -39.00
1989-03-03 05:00:00.000 062       -45.00
1989-03-03 06:00:00.000 062       -43.00
1989-03-03 07:00:00.000 062       -54.00
1989-03-03 08:00:00.000 062       -63.00
1989-03-03 09:00:00.000 062       -68.00
1989-03-03 10:00:00.000 062       -57.00
1989-03-03 11:00:00.000 062       -52.00
1989-03-03 12:00:00.000 062       -50.00
1989-03-03 13:00:00.000 062       -59.00
1989-03-03 14:00:00.000 062       -67.00
1989-03-03 15:00:00.000 062       -60.00
1989-03-03 16:00:00.000 062       -73.00
1989-03-03 17:00:00.000 062       -64.00
1989-03-03 18:00:00.000 062       -78.00
1989-03-03 19:00:00.000 062       -76.00
1989-03-03 20:00:00.000 062       -78.00
1989-03-03 21:00:00.000 062       -82.00
1989-03-03 22:00:00.000 062       -81.00
1989-03-03 23:00:00.000 062       -78.00
1989-03-04 00:00:00.000 063       -73.00
1989-03-04 01:00:00.000 063       -67.00
1989-03-04 02:00:00.000 063       -59.00
1989-03-04 03:00:00.000 063       -56.00
1989-03-04 04:00:00.000 063       -54.00
1989-03-04 05:00:00.000 063       -53.00
1989-03-04 06:00:00.000 063       -55.00
1989-03-04 07:00:00.000 063       -57.00
1989-03-04 08:00:00.000 063       -55.00
1989-03-04 09:00:00.000 063       -46.00
1989-03-04 10:00:00.000 063       -46.00
1989-03-04 11:00:00.000 063       -45.00
1989-03-04 12:00:00.000 063       -45.00
1989-03-04 13:00:00.000 063       -54.00
1989-03-04 14:00:00.000 063       -53.00
1989-03-04 15:00:00.000 063       -41.00
1989-03-04 16:00:00.000 063       -40.00
1989-03-04 17:00:00.000 063       -42.00
1989-03-04 18:00:00.000 063       -39.00
1989-03-04 19:00:00.000 063       -39.00
1989-03-04 20:00:00.000 063       -39.00
1989-03-04 21:00:00.000 063       -38.00
1989-03-04 22:00:00.000 063       -38.00
1989-03-04 23:00:00.000 063       -40.00
1989-03-05 00:00:00.000 064       -43.00
1989-03-05 01:00:00.000 064       -38.00
1989-03-05 02:00:00.000 064       -37.00
1989-03-05 03:00:00.000 064       -41.00
1989-03-05 04:00:00.000 064       -42.00
1989-03-05 05:00:00.000 064       -41.00
1989-03-05 06:00:00.000 064       -43.00
1989-03-05 07:00:00.000 064       -53.00
1989-03-05 08:00:00.000 064       -52.00
1989-03-05 09:00:00.000 064       -46.00
1989-03-05 10:00:00.000 064       -36.00
1989-03-05 11:00:00.000 064       -40.00
1989-03-05 12:00:00.000 064       -51.00
1989-03-05 13:00:00.000 064       -41.00
1989-03-05 14:00:00.000 064       -31.00
1989-03-05 15:00:00.000 064       -40.00
1989-03-05 16:00:00.000 064       -37.00
1989-03-05 17:00:00.000 064       -33.00
1989-03-05 18:00:00.000 064       -36.00
1989-03-05 19:00:00.000 064       -36.00
1989-03-05 20:00:00.000 064       -33.00
1989-03-05 21:00:00.000 064       -37.00
1989-03-05 22:00:00.000 064       -44.00
1989-03-05 23:00:00.000 064       -42.00
1989-03-06 00:00:00.000 065       -44.00
1989-03-06 01:00:00.000 065       -43.00
1989-03-06 02:00:00.000 065       -38.00
1989-03-06 03:00:00.000 065       -34.00
1989-03-06 04:00:00.000 065       -35.00
1989-03-06 05:00:00.000 065       -34.00
1989-03-06 06:00:00.000 065       -28.00
