Time,V(v),E.Y,E.Y.00,E.Y.00.left,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.Y.08.right,E.X,E.X.00,E.X.00.left,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,E.X.08.right,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,Vt(v),U0,U1
1958-02-10 23:58:00,-38.5089,-31.9221,2.29996,5.20429,1.08904,-0.125789,-0.575364,-0.909671,-2.3758,-8.00346,-6.03034,-17.2906,-15.4626,-298.671,-55.3945,-40.5992,-22.967,-11.3551,-8.98065,-18.9504,-16.0381,-52.6597,-21.4356,-90.8903,-78.9965,-11.8784,-1.55734,-0.438419,-2.44274,-0.959776,-4.31027,-6.65709,-2.96287,-7.30197,-20.1289,10.57,-7.81
1958-02-10 23:59:00,-38.7335,-42.3983,1.58218,-3.80951,1.35164,0.498395,0.274624,-0.170654,-1.33264,-7.00362,-4.79268,-32.8056,-33.7298,-290.426,-52.8656,-41.7944,-22.5781,-11.0155,-8.59373,-18.5345,-15.6601,-51.6668,-21.1322,-88.3798,-76.0571,-11.4705,-1.49111,-0.381358,-1.71483,-0.746876,-3.4117,-6.24209,-2.50983,-10.7651,-22.2435,9.05,-7.44
1958-02-11 00:00:00,-33.5642,-21.3828,3.75321,6.42921,1.57255,0.153918,-0.332354,-0.435155,-1.91574,-6.44365,-5.33045,-12.4051,-9.42467,-280.541,-49.3704,-35.2276,-22.2204,-11.1039,-8.81839,-18.491,-15.7429,-50.7966,-21.0826,-82.9144,-69.7413,-10.2129,-1.43313,-0.409104,-2.22309,-0.815796,-3.89481,-5.98623,-2.69981,-5.88933,-16.6042,9.47,-7.49
1958-02-11 00:01:00,-33.947,-31.5738,3.012,-2.1153,1.82349,0.742387,0.466686,0.262873,-0.930875,-5.50546,-4.1586,-27.2862,-27.1776,-273.716,-47.3344,-36.9048,-21.8605,-10.7797,-8.44649,-18.0979,-15.3813,-49.8849,-20.7929,-81.138,-67.9417,-9.92041,-1.37073,-0.355155,-1.53698,-0.614695,-3.04575,-5.5983,-2.27077,-9.23424,-18.777,8.07,-7.1
1958-02-11 00:02:00,-29.1707,-11.8756,4.99556,7.43952,2.0354,0.421148,-0.102035,0.0171043,-1.47916,-4.9811,-4.66762,-8.11491,-4.50797,-264.873,-44.3046,-30.9148,-21.5295,-10.8733,-8.67198,-18.0695,-15.4752,-49.0903,-20.7637,-76.0944,-62.3315,-8.80796,-1.31601,-0.381448,-2.01655,-0.67919,-3.50242,-5.36022,-2.45126,-4.6556,-13.5407,8.5,-7.13
1958-02-11 00:03:00,-29.7143,-21.9888,4.22908,-0.771992,2.27645,0.983376,0.659994,0.68488,-0.535626,-4.09302,-3.54131,-22.6526,-22.0092,-259.295,-42.6807,-33.0439,-21.1942,-10.5569,-8.30539,-17.6906,-15.1205,-48.2461,-20.4796,-75.0213,-61.5313,-8.6131,-1.25684,-0.329655,-1.35955,-0.486699,-2.68775,-4.99442,-2.03868,-7.94764,-15.7943,7.2,-6.72
1958-02-11 00:04:00,-25.2184,-3.1681,6.07404,8.31229,2.4802,0.676906,0.11645,0.449496,-1.06403,-3.60239,-4.03835,-4.26042,-0.370141,-251.2,-40.0111,-27.3831,-20.8863,-10.6608,-8.54019,-17.6806,-15.2318,-47.5185,-20.4744,-70.1963,-56.2979,-7.61158,-1.205,-0.355295,-1.82221,-0.549119,-3.13095,-4.77284,-2.21581,-3.55558,-10.8284,7.64,-6.75
1958-02-11 00:05:00,-25.9476,-13.4737,5.27257,0.280018,2.71275,1.22245,0.85555,1.09775,-0.144316,-2.75461,-2.93626,-18.7995,-17.976,-246.783,-38.7456,-29.9995,-20.5719,-10.344,-8.16769,-17.3071,-14.8733,-46.7309,-20.1868,-69.8559,-56.4629,-7.50453,-1.1486,-0.304666,-1.1812,-0.36204,-2.33496,-4.42499,-1.81173,-6.87487,-13.2176,6.4,-6.33
1958-02-11 00:06:00,-21.6158,4.95836,7.0264,9.12218,2.90871,0.920822,0.322133,0.862464,-0.671093,-2.29857,-3.44294,-0.669578,3.29895,-239.148,-36.3433,-24.4076,-20.285,-10.4663,-8.42394,-17.3219,-15.0118,-46.065,-20.2128,-65.0178,-51.2702,-6.58273,-1.09942,-0.330659,-1.64101,-0.425369,-2.7809,-4.21981,-1.99348,-2.54243,-8.36581,6.88,-6.37
1958-02-11 00:07:00,-22.5954,-5.97926,6.16625,1.04885,3.13412,1.46212,1.05661,1.50514,0.248368,-1.48052,-2.33567,-15.7357,-15.0068,-235.919,-35.4121,-27.6563,-19.9885,-10.1365,-8.02845,-16.9413,-14.6338,-45.3237,-19.9084,-65.5466,-52.5193,-6.56329,-1.04536,-0.27984,-0.998344,-0.239508,-1.98219,-3.88556,-1.58692,-6.01442,-11.0054,5.67,-5.92
