 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-06 14:00:00.000 037       -27.00
1958-02-06 15:00:00.000 037       -22.00
1958-02-06 16:00:00.000 037       -37.00
1958-02-06 17:00:00.000 037       -36.00
1958-02-06 18:00:00.000 037       -30.00
1958-02-06 19:00:00.000 037       -29.00
1958-02-06 20:00:00.000 037       -23.00
1958-02-06 21:00:00.000 037       -23.00
1958-02-06 22:00:00.000 037       -25.00
1958-02-06 23:00:00.000 037       -33.00
1958-02-07 00:00:00.000 038       -31.00
1958-02-07 01:00:00.000 038       -32.00
1958-02-07 02:00:00.000 038       -28.00
1958-02-07 03:00:00.000 038       -27.00
1958-02-07 04:00:00.000 038       -28.00
1958-02-07 05:00:00.000 038       -32.00
1958-02-07 06:00:00.000 038       -27.00
1958-02-07 07:00:00.000 038       -29.00
1958-02-07 08:00:00.000 038       -35.00
1958-02-07 09:00:00.000 038       -30.00
1958-02-07 10:00:00.000 038       -31.00
1958-02-07 11:00:00.000 038       -39.00
1958-02-07 12:00:00.000 038       -39.00
1958-02-07 13:00:00.000 038       -24.00
1958-02-07 14:00:00.000 038       -17.00
1958-02-07 15:00:00.000 038       -19.00
1958-02-07 16:00:00.000 038       -22.00
1958-02-07 17:00:00.000 038       -23.00
1958-02-07 18:00:00.000 038       -26.00
1958-02-07 19:00:00.000 038       -22.00
1958-02-07 20:00:00.000 038       -21.00
1958-02-07 21:00:00.000 038       -18.00
1958-02-07 22:00:00.000 038       -16.00
1958-02-07 23:00:00.000 038       -16.00
1958-02-08 00:00:00.000 039       -20.00
1958-02-08 01:00:00.000 039       -23.00
1958-02-08 02:00:00.000 039       -19.00
1958-02-08 03:00:00.000 039       -15.00
1958-02-08 04:00:00.000 039       -12.00
1958-02-08 05:00:00.000 039       -17.00
1958-02-08 06:00:00.000 039       -22.00
1958-02-08 07:00:00.000 039       -24.00
1958-02-08 08:00:00.000 039       -27.00
1958-02-08 09:00:00.000 039       -42.00
1958-02-08 10:00:00.000 039       -37.00
1958-02-08 11:00:00.000 039       -30.00
1958-02-08 12:00:00.000 039       -34.00
1958-02-08 13:00:00.000 039       -33.00
1958-02-08 14:00:00.000 039       -29.00
1958-02-08 15:00:00.000 039       -37.00
1958-02-08 16:00:00.000 039       -33.00
1958-02-08 17:00:00.000 039       -26.00
1958-02-08 18:00:00.000 039       -21.00
1958-02-08 19:00:00.000 039       -18.00
1958-02-08 20:00:00.000 039       -25.00
1958-02-08 21:00:00.000 039       -30.00
1958-02-08 22:00:00.000 039       -24.00
1958-02-08 23:00:00.000 039       -25.00
1958-02-09 00:00:00.000 040       -31.00
1958-02-09 01:00:00.000 040       -26.00
1958-02-09 02:00:00.000 040       -19.00
1958-02-09 03:00:00.000 040       -21.00
1958-02-09 04:00:00.000 040       -22.00
1958-02-09 05:00:00.000 040       -18.00
1958-02-09 06:00:00.000 040       -15.00
