ID,lat,lon,bathymetry.meters
135,52.88590604,-40.50185874,3976.447266
136,52.88590604,-40.50185874,3976.447266
137,52.88590604,-40.50185874,3976.447266
138,52.88590604,-40.16728625,3950.087158
139,52.88590604,-40.16728625,3950.087158
140,52.88590604,-40.16728625,3950.087158
141,52.88590604,-39.83271375,3903.26709
142,52.88590604,-39.83271375,3903.26709
143,52.88590604,-39.83271375,3903.26709
144,52.88590604,-39.49814126,3952.047119
145,52.88590604,-39.49814126,3952.047119
146,52.88590604,-39.49814126,3952.047119
147,52.88590604,-39.49814126,3952.047119
148,52.88590604,-39.16356877,3625.197266
149,52.88590604,-39.16356877,3625.197266
150,53.22147651,-39.16356877,3539.387207
151,53.22147651,-38.82899628,3621.057373
152,53.22147651,-38.82899628,3621.057373
153,53.22147651,-38.82899628,3621.057373
154,53.22147651,-38.49442379,3524.047363
155,53.22147651,-38.49442379,3524.047363
156,53.22147651,-38.49442379,3524.047363
157,53.22147651,-38.49442379,3524.047363
158,53.22147651,-38.1598513,3503.817383
159,53.22147651,-38.1598513,3503.817383
160,53.22147651,-38.1598513,3503.817383
161,53.22147651,-37.82527881,3351.887207
162,53.22147651,-37.82527881,3351.887207
163,53.22147651,-37.82527881,3351.887207
164,53.22147651,-37.82527881,3351.887207
165,53.22147651,-37.49070632,3402.577393
166,53.22147651,-37.49070632,3402.577393
167,53.22147651,-37.49070632,3402.577393
168,53.22147651,-37.15613383,3396.467285
169,53.22147651,-37.15613383,3396.467285
170,53.22147651,-37.15613383,3396.467285
171,53.22147651,-36.82156134,3204.48877
172,53.22147651,-36.82156134,3204.48877
173,53.22147651,-36.82156134,3204.48877
174,53.22147651,-36.82156134,3204.48877
175,53.22147651,-36.48698885,2626.97876
176,53.22147651,-36.48698885,2626.97876
177,53.22147651,-36.48698885,2626.97876
178,53.22147651,-36.15241636,2588.158936
179,53.22147651,-36.15241636,2588.158936
180,53.22147651,-36.15241636,2588.158936
181,53.55704698,-35.81784387,1976.698853
182,53.55704698,-35.81784387,1976.698853
183,53.55704698,-35.81784387,1976.698853
184,53.55704698,-35.81784387,1976.698853
185,53.55704698,-35.48327138,1855.438843
186,53.55704698,-35.48327138,1855.438843
187,53.55704698,-35.48327138,1855.438843
188,53.55704698,-35.14869888,1836.538818
189,53.55704698,-35.14869888,1836.538818
190,53.55704698,-35.14869888,1836.538818
191,53.55704698,-34.81412639,2023.080078
192,53.55704698,-34.81412639,2023.080078
193,53.55704698,-34.81412639,2023.080078
194,53.55704698,-34.81412639,2023.080078
195,53.55704698,-34.4795539,2168.22998
196,53.55704698,-34.4795539,2168.22998
197,53.55704698,-34.4795539,2168.22998
198,53.55704698,-34.14498141,2255
199,53.55704698,-34.14498141,2255
200,53.55704698,-34.14498141,2255
201,53.55704698,-33.81040892,2723.130127
202,53.55704698,-33.81040892,2723.130127
203,53.55704698,-33.81040892,2723.130127
204,53.55704698,-33.81040892,2723.130127
205,53.55704698,-33.47583643,2874.98999
206,53.55704698,-33.47583643,2874.98999
207,53.55704698,-33.47583643,2874.98999
208,53.55704698,-33.14126394,2792.030029
209,53.55704698,-33.14126394,2792.030029
210,53.55704698,-33.14126394,2792.030029
211,53.55704698,-32.80669145,2815.070068
212,53.55704698,-32.80669145,2815.070068
213,53.89261745,-32.80669145,2564.004883
214,53.89261745,-32.80669145,2564.004883
215,53.89261745,-32.47211896,2746.060303
216,53.89261745,-32.47211896,2746.060303
217,53.89261745,-32.47211896,2746.060303
218,53.89261745,-32.13754647,2784.130127
219,53.89261745,-32.13754647,2784.130127
220,53.89261745,-32.13754647,2784.130127
221,53.89261745,-31.80297398,2776.950195
222,53.89261745,-31.80297398,2776.950195
223,53.89261745,-31.80297398,2776.950195
224,53.89261745,-31.80297398,2776.950195
225,53.89261745,-31.46840149,2763.600342
226,53.89261745,-31.46840149,2763.600342
227,53.89261745,-31.46840149,2763.600342
228,53.89261745,-31.133829,3036.180176
229,53.89261745,-31.133829,3036.180176
230,53.89261745,-31.133829,3036.180176
231,53.89261745,-30.79925651,3024.050293
232,53.89261745,-30.79925651,3024.050293
233,53.89261745,-30.79925651,3024.050293
234,53.89261745,-30.79925651,3024.050293
235,53.89261745,-30.46468401,3026.840088
236,53.89261745,-30.46468401,3026.840088
237,53.89261745,-30.46468401,3026.840088
238,53.89261745,-30.13011152,3151.97998
239,53.89261745,-30.13011152,3151.97998
240,53.89261745,-30.13011152,3151.97998
241,53.89261745,-29.79553903,3151.98999
242,53.89261745,-29.79553903,3151.98999
