dB_E,dB_N,dB_Z
0.10671,-0.373,0.3731
0.066919,-0.43327,0.65636
0.085232,-0.48995,0.72676
0.078166,-0.51213,0.80958
0.080395,-0.53316,0.84495
0.082123,-0.53822,0.81957
0.1126,-0.48993,0.62622
0.098843,-0.48946,0.66767
0.10932,-0.47401,0.656
0.091496,-0.508,0.77379
0.073276,-0.54299,0.91673
0.078692,-0.55735,0.9343
0.063391,-0.56171,0.97683
0.05882,-0.56118,0.98051
0.043077,-0.57049,0.99448
0.044577,-0.53958,0.87119
0.041384,-0.46472,0.75142
0.066748,-0.41446,0.5691
0.10209,-0.34361,0.3036
0.073583,-0.33893,0.43195
0.084067,-0.35115,0.47252
0.084394,-0.35568,0.49564
0.084279,-0.34495,0.50336
0.053813,-0.34574,0.59072
0.041188,-0.35705,0.64538
0.021456,-0.34548,0.64781
0.00095595,-0.33634,0.68017
-0.048852,-0.34002,0.78371
-0.036756,-0.32482,0.65528
-0.050715,-0.29516,0.60002
-0.06278,-0.277,0.55978
-0.05082,-0.25122,0.47854
-0.074248,-0.25817,0.57628
-0.05475,-0.25084,0.47447
-0.053941,-0.24806,0.42252
-0.050322,-0.22877,0.43089
-0.062288,-0.23327,0.45031
-0.096063,-0.25427,0.59145
-0.11239,-0.26848,0.70667
-0.13651,-0.29214,0.82022
-0.17123,-0.31726,0.97886
-0.20159,-0.33319,1.1169
-0.23575,-0.36382,1.2704
-0.26698,-0.38989,1.4049
-0.30307,-0.42396,1.5756
-0.3263,-0.45253,1.7
-0.33705,-0.46367,1.7449
-0.35945,-0.4913,1.8853
-0.39035,-0.52288,2.0391
-0.42101,-0.55719,2.2203
-0.44008,-0.58435,2.3365
-0.44987,-0.60125,2.4112
-0.44823,-0.61226,2.4712
-0.45956,-0.62989,2.4989
-0.45714,-0.62671,2.4532
-0.46018,-0.63011,2.4858
-0.46603,-0.63707,2.5227
-0.46534,-0.63754,2.5074
-0.46807,-0.63198,2.4862
-0.48671,-0.64516,2.5743
-0.50066,-0.66161,2.6657
-0.49439,-0.66222,2.642
