Date,H
0.07946213651329614,-2105.431450863831
0.04242407474015408,-2156.1396990525736
0.04242407474015408,-2230.7449377670455
0.2276143836058626,-2142.7340702210677
0.37576663069843086,-2145.0654839308936
0.5239188777909973,-2108.9285714285725
0.6720711248835656,-2094.3572357421526
0.820223371976132,-2090.860115177411
0.9617616794663526,-2052.2252594145593
1.0596479855810852,-1973.6233114832412
1.1409393159662944,-1868.7399726411422
1.2600503555321918,-1891.5242429871832
1.331348624445491,-1937.919375812744
1.467360617956862,-1932.32398290916
1.610368689803158,-1910.9526905690764
1.709136854531538,-1823.6801040312093
1.8017320089643931,-1744.6451792680673
1.9498842560569596,-1704.4282927735476
2.098036503149528,-1704.4282927735476
2.2461887502420943,-1660.9474270852697
2.2739672965719517,-1581.6793609511442
2.3457285412574134,-1493.4353520341829
2.4128600282212336,-1416.4986996098833
2.5610122753138,-1431.070035296303
2.6258288834167995,-1510.6711605318324
2.6793283059780038,-1604.3717877267936
2.780154140804891,-1684.6760377319551
2.931392893045219,-1694.5197845067814
3.079545140137787,-1696.8511982166092
3.2276973872303536,-1710.839680475572
3.375849634322922,-1723.0796024521642
3.5240018814154883,-1744.0623258406104
3.6721541285080566,-1772.622143785993
3.820306375600625,-1793.0220137469823
3.9684586226931913,-1825.0789522571067
4.1166108697857595,-1853.0559167750325
4.264763116878326,-1839.0674345160696
4.417124234626932,-1863.2293584179151
4.548440999095346,-1804.3081755695548
4.62588421916646,-1747.2097343488786
4.7295907921312565,-1776.5855470927
4.758603940520217,-1744.2566103164281
4.917250305115177,-1777.8289677379416
5.0484548330327605,-1819.9922314356663
5.136480356467629,-1840.3996709216844
5.264790784753156,-1805.5533624373038
5.3573859391860115,-1811.0904699981438
5.403683516402438,-1892.9489958098548
5.493633094994355,-1933.6562193147747
5.568671246119161,-1875.0983736679445
5.649481562715108,-1995.484099775389
5.7401125775084765,-2048.1175304972458
5.8166579051729705,-1945.8461824261576
5.893408999847315,-2064.4374264660364
5.93905186385058,-2136.216709168595
6.075419273106238,-2153.5963386418534
6.13209873127423,-2160.802526472229
6.231484197032161,-2108.578859372099
6.388559249915529,-2138.760069579317
6.531919859645837,-2200.2572200231516
6.672237132132549,-2185.2823704254133
6.827591224569895,-2126.0903667925795
6.968541626317682,-2086.1972877577573
7.04617910195754,-2321.3711732567426
7.067029199668992,-2170.1281813115365
7.129039894001297,-2222.196420831011
7.209289027843104,-2093.5245879886425
7.22163504843415,-2185.6709393770525
7.297915818514552,-2276.040975557975
7.364055214538018,-2378.6231787903725
7.409911862447624,-2401.7152764877083
7.513530249551055,-2365.0470554188632
7.653745769120809,-2417.840887980681
7.8145246281814895,-2349.5360172677665
7.774119469883518,-2413.527772617499
7.942113535783127,-2356.6412780977153
8.061164448625368,-2432.995077094558
8.09820251039851,-2334.492847854357
8.207001816857113,-2372.378320639049
8.251498932737347,-2321.4110264825486
8.37346265130345,-2358.336851704864
8.446360291066041,-2304.883893739552
8.542659251676211,-1869.3758127438232
8.735051405886699,-2153.5492393749882
8.842050251009107,-2039.5690135612112
8.87203344387308,-2097.5212972054887
8.971683467215106,-2072.2088054987926
9.098230178273338,-2122.3342002600784
9.246382425365907,-2155.5568456251167
9.394534672458475,-2209.179360951144
9.550094531905673,-2247.127004768103
9.672320135757039,-2223.750696637564
9.718617712973467,-2147.746609697195
9.81121286740632,-2099.337983213147
9.844135588982448,-2028.6890829153508
9.848250929179462,-1943.5147687163299
9.915592859676087,-2250.5468152505127
9.950105599055602,-2188.779490990155
10.079738815261601,-2200.436559539292
10.177478144940723,-2152.513055503954
10.308140196195973,-2208.9850764753246
10.434686907254209,-2268.2962412533307
10.477897979322874,-2324.001486160134
10.586366588801363,-2310.20332338769
10.627902129504099,-2362.236671001301
10.764942958064724,-2409.098086568829
10.905519237976419,-2338.2321932201157
10.931614236043862,-2413.372345036845
11.06124745224986,-2472.6291101616207
11.209399699342425,-2490.697566412782
11.368663364966936,-2324.1347098006972
11.339032915548424,-2429.8476685862897
11.479777550286359,-2246.931610095273
11.549944100645481,-2148.3683200198175
11.681634986949986,-2300.0212308590544
11.647683430324607,-2190.333766796708
11.779521293064716,-2232.610068734908
11.894603842145552,-2228.4135240572177
11.967651130642578,-2318.8205668049613
12.047077196444986,-2412.90606229488
12.185352627064715,-2419.589448263052
12.277330480468018,-2308.0701591429824
12.311282037093397,-2372.184036163231
12.339060583423253,-2146.3477614712992
12.320541552536683,-2254.0590748653176
12.405560739788667,-2049.742455204094
12.50573186140239,-2157.538547278471
12.487212830515821,-2058.2203232398297
12.561288954062105,-2258.7219022849713
12.579807984948674,-2312.9272710384557
12.73228133924811,-2291.9834045451735
12.88679653541453,-2284.2905933004386
13.01163811425826,-2281.3093649801795
13.09244843085421,-2319.3386587404802
13.227429388599647,-2265.12186148842
13.376126313071227,-2193.4423184098086
13.533538075607078,-2172.071026069725
13.67243080725636,-2173.625301876278
13.820583054348928,-2159.6368196173153
13.968735301441496,-2180.6195430057596
14.116887548534065,-2181.7852498606735
14.277666407594749,-2214.184835537242
14.413192042719198,-2185.2823704254133
14.54976989550766,-2142.7340702210677
14.676019827224762,-2065.7525829177303
14.823697227371524,-2070.1364377567243
14.961561123971547,-2083.088736144655
15.122059391655165,-2091.37820711293
15.265067463501461,-2101.934330299091
15.41321971059403,-2149.728311350549
15.561371957686594,-2157.8882593349445
15.709524204779163,-2150.311164778006
15.85767645187173,-2212.4821970400644
16.04286676073744,-2267.658988172643
16.191019007830008,-2217.3393089355395
16.32848719864186,-2274.452539843587
16.434291731749056,-2300.687349061862
16.59060271272871,-2291.3104543608006
16.72013417601775,-2274.6135794091006
16.839185088859992,-2156.7225524800306
16.959558789622704,-2178.288129295932
17.030548408021225,-2235.925857122218
17.172527644818267,-2270.670397547836
17.32729383151318,-2265.0976050832724
17.472535945180717,-2196.5508700229148
17.587781298928682,-2132.1082038897384
17.71883905597211,-2128.162734534648
17.876250818507962,-2165.465353891883
18.02440306560053,-2210.927921233513
18.193599665973295,-2182.562387763952
18.35033800920418,-2163.6002229240203
18.47626741923286,-2106.7137284042365
18.631827278680056,-2129.5615827605434
18.743558765029036,-2186.7071232480866
18.90199936261414,-2178.4176522798116
19.047158635017972,-2163.6284824841405
19.179990592922557,-2172.459595021366
19.34177958094069,-2151.0529782311332
19.431849412979922,-2064.0488575143972
19.561482629185917,-2024.4148244473345
19.717210843459355,-2054.829176025536
19.85037951101642,-2077.3379156604133
20.005939370463622,-2063.4660040869403
20.16520303608813,-2007.3955043655951
20.289617252680635,-2011.1681556414987
20.376319988195036,-2081.534460338102
20.524472235287604,-2114.174252275683
20.68525109434829,-2131.5538817489396
20.813574884127966,-2090.860115177411
20.963784801319036,-2104.848597436374
21.121290094313913,-2129.0105213382194
21.26338156766179,-2126.2976035667853
21.413385717843013,-2118.8370796953386
21.56153796493558,-2124.665613969906
21.709690212028143,-2113.008545420769
21.86154626529803,-2123.033624373027
22.00599470621328,-2141.568363366154
22.138714427567038,-2104.848597436374
22.22822307685213,-2010.0377732367324
22.357856293058127,-1976.6208433958764
22.506008540150695,-1978.3694036782472
22.654160787243264,-1951.5581460152334
22.79922652918807,-1960.3009474270857
22.9504652814284,-1989.4436187999272
23.09861752852096,-2041.317573843582
23.24676977561353,-2041.317573843582
23.391835517558334,-2058.7384151753486
23.543074269798666,-2062.3002972320282
23.691226516891234,-2064.631710941854
23.839378763983802,-2059.9688835222005
23.98753101107637,-2016.837729890396
24.098645196395793,-1982.449377670444
