Date,H
1.2785693864187628,-24.17742270272356
1.3001749224530954,-92.56881505518868
1.3273922860288145,-134.37091756614245
1.3549603888258677,-219.14584000326795
1.3480157522434038,-284.2964520561836
1.3480157522434038,-335.58755367238336
1.3480157522434038,-386.8786552885813
1.3480157522434038,-438.169756904781
1.352645509965047,-491.7581503151323
1.352645509965047,-543.049251931332
1.352645509965047,-594.3403535475318
1.352645509965047,-645.6314551637297
1.3433859945217623,-687.7393271172841
1.371164540851618,-732.5626722280285
1.3935417031728914,-782.8339995581937
1.40820260262476,-838.0369708683629
1.3804240562949044,-135.45470176007257
1.371164540851618,-155.64375239623587
1.4298081386590926,-906.7227336387332
1.420311199742903,-981.0519675659543
1.4472248462786066,-1032.3911292652501
1.445240664397902,-1090.0370887263234
1.438830230629474,-1144.6426759841524
1.4174621180680447,-514.7641379546603
1.4174621180680447,-566.0552395708582
1.426721633511331,-636.0141857146809
1.426721633511331,-687.3052873308789
1.4676178267191755,-1192.1293844249194
1.457349261516045,-1245.4645537531578
1.4475555432587228,-736.3021786475147
1.4997084022995821,-1306.4945317971706
1.496167999335972,-1374.7300603554922
1.5007977570576152,-1425.2240319327975
1.496167999335972,-1477.3122635878917
1.5007977570576152,-1528.8659686696647
1.5007977570576152,-1580.1570702858644
1.494387323289187,-1633.6214060773455
1.480955938250574,-804.6389379977991
1.4845936050318649,-864.5960720840358
1.5256827048114445,-1695.0898662455893
1.499474969137145,-948.5535395022907
1.517994000023716,-1029.1869117400438
1.5193167879441862,-1090.3389248790863
1.521631666805007,-1137.4376155298469
1.5304282064761292,-1207.8620176731838
1.5563548497173283,-1417.2692663928865
1.6158803061384468,-1568.91745298955
1.602652426933755,-1616.7937861785904
1.60635623311107,-1662.6232768513419
1.5933929114904686,-1706.4307058074864
1.708673878759372,-1576.3105382982685
1.6937043287927285,-1643.6616631730485
1.7434945302553064,-1309.1313538945178
1.7369154008613936,-1381.6879248171626
1.7369154008613936,-1432.9790264333606
1.7369154008613936,-1484.2701280495603
1.7508046740263215,-1529.1912971923139
1.769941005942444,-1235.4895457154526
1.7600641894696079,-1583.1634064687496
1.8532380636176669,-1224.2920770734763
1.902224985392989,-1280.7449087041496
2.010071106438316,-1292.1831336635041
2.098036503149528,-1293.5059215839738
2.223039961633882,-1292.5634351906392
2.3248946315100216,-1293.5931053332752
2.4452683322727324,-1292.9602715667788
2.547123002148872,-1293.1421549058432
2.6511144832811553,-1277.007958010503
2.7272205775207734,-1173.395951662902
2.717355632221585,-1250.2253183553894
2.7642586392939155,-1034.976116695192
2.760091857344438,-1105.1018393387585
2.785147016779211,-763.6505757436753
2.773981130509366,-824.9331030312132
2.773981130509366,-876.2242046474112
2.773981130509366,-927.5153062636109
2.774642524469602,-970.814170506761
2.8000539766259855,-681.1682475840717
2.755462099622795,-1279.5257067495113
2.785555524813473,-1174.6658280665542
2.8156489500041513,-1074.4687768032545
2.866576284942221,-597.7856148131177
2.8341679808907223,-779.5780122081196
2.8526870117772933,-689.8516540777837
2.9169249001650854,-528.2245384734979
3.005931992363667,-493.58713009039093
3.0944632483519694,-440.82213040586794
3.120184124583318,-491.90011619043435
3.1694599085212687,-322.5447777510344
3.145287699785113,-398.48115883599894
3.192202578031093,-443.32807863297967
3.2525297241009845,-289.13860742914767
3.267821954151257,-349.0408579851919
3.2895677858741266,-407.8948993254671
3.3048600159243993,-468.7862344856785
3.3405477316953966,-524.6096071095908
3.4382411312383923,-479.51577674296095
3.398998422931136,-533.8453537074311
3.47175175855695,-418.8478409929121
3.488744495689133,-358.49200808874593
3.5319987356619613,-478.6941164324053
3.5610399431886304,-423.5868468240569
3.5863933783309605,-344.11426035520344
3.537891154580418,-383.32862320702225
3.6887440936772773,-316.8612860116082
3.780587927778109,-233.44717901052718
3.7485451309151614,-305.0195783152376
3.8291029152717453,-174.72083443675547
3.9197359342892373,-140.43326605836228
3.90456796613452,-207.02910265176797
3.972509660699629,-70.52958371047316
4.057746807324872,-98.4922278681006
4.093462081177545,-143.97315533427718
4.173711215019354,-177.7453339007443
4.203650314952643,-131.79223270527473
4.256532436484294,-211.05111281217614
4.315073150786844,-145.0471188300089
4.359851217776681,-188.95765740867319
4.3784493898208865,-77.86014826174869
4.448047054917476,-153.73251837879434
4.468009480858441,-313.64828926894734
4.454583183465678,-84.54626379229376
4.480937188958107,-232.57404526322534
4.48853474009106,-400.87981426512124
