Date,H
0.07946213651329614,-2479.623351291102
0.2224702083595922,-2460.259665201149
0.38348289356783916,-2470.103411975975
0.5128074592590544,-2478.8073564926617
0.6720711248835656,-2516.343117220882
0.820223371976132,-2484.8690321382146
0.9683756190687003,-2501.771781534462
1.0609707735015554,-2598.642021177784
1.1535659279344088,-2679.775218279772
1.249864888544579,-2707.752182797698
1.3665347831299748,-2671.715188025795
1.4220918757896879,-2752.3154905655374
1.4609818406514883,-2848.569570871261
1.4943160962473137,-2969.3368010403137
1.4869084838926856,-3068.4995974982976
1.496167999335972,-3145.9913484249373
1.498225669434479,-3227.0357297665487
1.5167447003210501,-3308.8942555782614
1.5424655765523987,-3387.126137841353
1.5352637312076212,-3463.2856523623777
1.560272337020253,-3560.0094314008493
1.5933929114904668,-3683.992816892687
1.6003375480729343,-3791.0435630689226
1.6165417000986828,-3864.288810452661
1.6329239197291106,-3945.9480701353277
1.6258012155419692,-3433.754412037899
1.7788918708709573,-3935.7854975540286
1.8424738769148483,-3740.1021735091963
1.8295105552942488,-3834.757570128182
1.8936148929785297,-3611.300533017049
1.948032352968303,-3564.313579788224
2.0424794104898147,-3633.6731376555836
2.186663293820974,-3636.2543456914646
2.3387839046749495,-3634.2559910830405
2.523974213540658,-3634.8388445104974
2.678299470928751,-3635.033128986315
2.825422882972065,-3611.9780378558025
2.9267631353235757,-3525.8452535760734
2.9962095011482184,-3427.0932300098193
3.056396351529573,-3353.3206390488594
3.1536212636840713,-3283.145086383058
3.2276973872303536,-3208.384420087932
3.3480710879930644,-3131.336747963167
3.489489142035973,-3051.402563626232
3.588818489518488,-2969.803083782279
3.670831340587588,-2885.539131127094
3.7277112211677697,-2805.0498482878193
3.7832683138274827,-2728.1131958635215
3.8401481944076643,-2646.402696319101
3.931420560920049,-2567.051365409623
4.054880766830522,-2496.1375317357106
4.0795728080126175,-2416.6751811257673
4.227725055105184,-2497.1089541148067
4.38307914754253,-2544.708650690447
4.506539353453002,-2530.2020764959652
4.54387136809736,-2617.759613598366
4.598105672836603,-2693.1419902161124
4.628529795007397,-2782.9569278946965
4.666289377464432,-2902.615979599075
4.704590100434386,-2970.385937209736
4.8018150125888805,-3053.73397733606
4.783295981702313,-2948.8203603938327
4.841939579509786,-3163.310421697939
4.907373488642339,-3247.7075979936853
4.967457455518769,-3302.1590604165394
5.05182192955759,-3306.303795900676
5.079600475887448,-3382.463310421699
5.164479367450898,-3438.8058084091917
5.293993871920442,-3258.3603652524343
5.264790784753156,-3366.1434144529085
5.237012238423301,-3438.4172394575526
5.422202547289009,-3169.009432988627
5.468500124505438,-3076.2709765310556
5.509506550039987,-2998.7792256044177
5.574058600558892,-2933.8993126509395
5.604306351006958,-2889.757879744877
5.674061367346376,-2993.583503622516
5.697673131726752,-3079.962381571615
5.738877975449373,-3139.996284599667
5.826975650952631,-2994.7825163875696
5.8203617113502855,-3095.6994241129487
5.912956865783139,-2897.529258777635
5.955139102802551,-2851.937168452123
6.0580226077279455,-2935.868062005904
6.12962952715602,-3048.6048671744393
6.285862805908181,-3066.662726090557
6.4023883963568,-3022.759480905497
6.490133328414599,-3083.5242636282946
6.5333444004832675,-2982.1262705342233
6.556137053882123,-3380.669915260294
6.590326033980409,-3200.2543620228953
6.564209451960883,-3286.875348318783
6.623293979075184,-3070.0538733048506
6.64445858580269,-3157.4818874233715
6.709275193905691,-2946.0226639420416
6.662977616689263,-3233.2528329927554
6.765861121614657,-2830.177307160404
6.718534709348974,-3094.922286209674
6.83301599119323,-2766.546197625523
6.89314271485093,-2879.5440673018256
6.93150356454454,-2980.294445476502
6.9572244407758905,-3045.7035523355426
6.9037250182146845,-2780.9585732862724
7.041588914814712,-3151.3943071810445
7.051877265307253,-3236.0505294445484
7.074100102371139,-3325.5768159019153
7.042617749863966,-3018.762771688651
7.03335823442068,-3070.0538733048506
7.118545776498907,-3351.6886494519804
7.256909392980001,-3325.8432631830365
7.394479336708814,-3291.5381757384366
7.4063844279930375,-3379.1327194076603
7.447511106974902,-3483.7738334487367
7.50559352202824,-3568.976407207878
7.5796696455745245,-3503.696823332715
7.62288071764319,-3604.7247507585616
7.71687882896139,-3641.462178913416
7.766711857528891,-3445.411480587034
7.763008051351575,-3546.594835593536
7.808842652795837,-3337.000743080069
7.869801129464134,-3216.9329370239648
8.001638992204247,-3201.9452774607907
8.033385902295512,-3289.2067620286107
8.054550509023022,-3379.7988376104695
8.064250953773128,-3457.8456870394457
8.117750376334333,-3521.3119491402995
8.264873788377647,-3538.0851755526674
8.419639975072561,-3533.672142459067
8.495038886539314,-3761.151508717923
8.505621189903069,-3641.250232212522
8.559855494642315,-3533.0060242562577
8.648217727729667,-3745.231283670817
8.701922917300722,-3632.857142857143
8.709330529655352,-3537.6188928107003
8.77723364290611,-3701.5561335067177
8.755628106871777,-3810.137841352407
8.811185199531492,-3630.1527029537447
8.87600180763449,-3533.5389188185036
9.009338830017802,-3510.6910644621967
9.046376891790944,-3283.611369125025
9.03341357017034,-3379.665613969906
9.027240559874818,-3430.6458604247964
9.059869328579728,-3168.639367320402
9.149157513211412,-3109.6879063719134
9.188973429617539,-3056.9979565298163
9.272309068607106,-3182.894296860488
