Z,Y,X,Date
-0.386343,-0.294951,-0.29686,2024-05-09 21:45:00
-0.350612,-0.318429,-0.294109,2024-05-09 21:46:00
-0.251617,-0.363964,-0.302626,2024-05-09 21:47:00
-0.208565,-0.385678,-0.28291,2024-05-09 21:48:00
-0.123585,-0.446053,-0.296154,2024-05-09 21:49:00
-0.105693,-0.444424,-0.266224,2024-05-09 21:50:00
-0.140881,-0.399075,-0.213925,2024-05-09 21:51:00
-0.164003,-0.365455,-0.177454,2024-05-09 21:52:00
-0.12964,-0.382253,-0.182095,2024-05-09 21:53:00
0.0124811,-0.498286,-0.205511,2024-05-09 21:54:00
0.2623,-0.689074,-0.30955,2024-05-09 21:55:00
0.608331,-0.990257,-0.507903,2024-05-09 21:56:00
0.720665,-1.11589,-0.602834,2024-05-09 21:57:00
0.65298,-1.09372,-0.647007,2024-05-09 21:58:00
0.456697,-0.974944,-0.636236,2024-05-09 21:59:00
0.18313,-0.752757,-0.55529,2024-05-09 22:00:00
-0.0733234,-0.539773,-0.431344,2024-05-09 22:01:00
-0.360175,-0.305989,-0.289335,2024-05-09 22:02:00
-0.406201,-0.262553,-0.244899,2024-05-09 22:03:00
-0.344267,-0.283437,-0.266112,2024-05-09 22:04:00
-0.205991,-0.37615,-0.324028,2024-05-09 22:05:00
-0.0592477,-0.472685,-0.365112,2024-05-09 22:06:00
0.0353452,-0.549402,-0.394225,2024-05-09 22:07:00
0.140215,-0.621023,-0.437222,2024-05-09 22:08:00
0.10243,-0.58748,-0.414485,2024-05-09 22:09:00
-0.0442539,-0.458943,-0.338408,2024-05-09 22:10:00
-0.142957,-0.353589,-0.261577,2024-05-09 22:11:00
-0.237905,-0.250991,-0.181284,2024-05-09 22:12:00
-0.210333,-0.233358,-0.128155,2024-05-09 22:13:00
-0.175504,-0.219807,-0.0803766,2024-05-09 22:14:00
-0.118114,-0.248904,-0.0555544,2024-05-09 22:15:00
-0.138737,-0.197886,0.0369522,2024-05-09 22:16:00
-0.14656,-0.163303,0.051377,2024-05-09 22:17:00
0.0181528,-0.283303,-0.0216128,2024-05-09 22:18:00
0.239763,-0.450855,-0.120326,2024-05-09 22:19:00
0.400699,-0.569298,-0.217757,2024-05-09 22:20:00
0.474044,-0.628239,-0.268643,2024-05-09 22:21:00
0.495575,-0.647874,-0.292119,2024-05-09 22:22:00
0.452449,-0.614717,-0.294747,2024-05-09 22:23:00
0.420531,-0.593255,-0.280489,2024-05-09 22:24:00
0.40201,-0.575048,-0.279422,2024-05-09 22:25:00
0.372882,-0.549164,-0.275485,2024-05-09 22:26:00
0.403172,-0.563059,-0.278638,2024-05-09 22:27:00
0.440895,-0.595811,-0.304337,2024-05-09 22:28:00
0.45263,-0.59935,-0.323578,2024-05-09 22:29:00
0.481293,-0.619667,-0.34196,2024-05-09 22:30:00
0.523933,-0.648498,-0.373953,2024-05-09 22:31:00
0.565003,-0.679597,-0.411459,2024-05-09 22:32:00
0.559551,-0.672457,-0.430736,2024-05-09 22:33:00
0.615259,-0.711879,-0.459109,2024-05-09 22:34:00
0.623361,-0.723493,-0.491144,2024-05-09 22:35:00
0.632775,-0.733716,-0.527461,2024-05-09 22:36:00
0.655379,-0.7633,-0.571535,2024-05-09 22:37:00
0.638604,-0.750956,-0.586465,2024-05-09 22:38:00
0.658977,-0.766184,-0.617431,2024-05-09 22:39:00
0.648548,-0.757043,-0.643293,2024-05-09 22:40:00
0.596386,-0.723283,-0.650512,2024-05-09 22:41:00
0.537648,-0.684625,-0.658962,2024-05-09 22:42:00
0.461863,-0.624921,-0.641734,2024-05-09 22:43:00
0.455121,-0.621338,-0.63614,2024-05-09 22:44:00
0.367289,-0.551027,-0.626835,2024-05-09 22:45:00
0.36081,-0.549396,-0.612575,2024-05-09 22:46:00
0.339261,-0.531549,-0.611789,2024-05-09 22:47:00
0.311494,-0.508726,-0.59609,2024-05-09 22:48:00
0.282764,-0.491116,-0.60105,2024-05-09 22:49:00
0.241758,-0.462555,-0.592063,2024-05-09 22:50:00
0.215875,-0.44432,-0.590646,2024-05-09 22:51:00
0.183607,-0.422829,-0.592064,2024-05-09 22:52:00
0.138782,-0.386091,-0.581486,2024-05-09 22:53:00
0.123093,-0.374237,-0.584022,2024-05-09 22:54:00
0.0857783,-0.343274,-0.577136,2024-05-09 22:55:00
0.0655924,-0.33043,-0.571466,2024-05-09 22:56:00
0.0294831,-0.299709,-0.556682,2024-05-09 22:57:00
0.00273015,-0.275659,-0.538356,2024-05-09 22:58:00
-0.0357776,-0.241612,-0.523202,2024-05-09 22:59:00
-0.0535991,-0.218583,-0.495816,2024-05-09 23:00:00
-0.0817825,-0.185402,-0.473097,2024-05-09 23:01:00
-0.104952,-0.154653,-0.444383,2024-05-09 23:02:00
-0.123485,-0.128668,-0.423755,2024-05-09 23:03:00
-0.15117,-0.0936777,-0.391839,2024-05-09 23:04:00
-0.152414,-0.0836838,-0.364941,2024-05-09 23:05:00
-0.158435,-0.064895,-0.324031,2024-05-09 23:06:00
-0.154492,-0.0564723,-0.302384,2024-05-09 23:07:00
-0.141956,-0.0556119,-0.279973,2024-05-09 23:08:00
-0.123963,-0.0604042,-0.264543,2024-05-09 23:09:00
-0.111479,-0.0662091,-0.252469,2024-05-09 23:10:00
-0.0888765,-0.0830206,-0.244609,2024-05-09 23:11:00
-0.0857997,-0.0852383,-0.244727,2024-05-09 23:12:00
-0.0747619,-0.0963801,-0.256162,2024-05-09 23:13:00
-0.0642339,-0.107149,-0.273422,2024-05-09 23:14:00
-0.040962,-0.134541,-0.312779,2024-05-09 23:15:00
-0.0278805,-0.162455,-0.363411,2024-05-09 23:16:00
-0.0126257,-0.185109,-0.402341,2024-05-09 23:17:00
-0.0385535,-0.168291,-0.428549,2024-05-09 23:18:00
-0.0303926,-0.182337,-0.466895,2024-05-09 23:19:00
-0.0176521,-0.202494,-0.490944,2024-05-09 23:20:00
-0.0299212,-0.192848,-0.507213,2024-05-09 23:21:00
-0.0298273,-0.193981,-0.52353,2024-05-09 23:22:00
-0.0429173,-0.19048,-0.515391,2024-05-09 23:23:00
-0.0552763,-0.180752,-0.514898,2024-05-09 23:24:00
-0.0712887,-0.166845,-0.521895,2024-05-09 23:25:00
-0.0757947,-0.1618,-0.513277,2024-05-09 23:26:00
-0.0930562,-0.145315,-0.503156,2024-05-09 23:27:00
-0.101827,-0.137723,-0.50123,2024-05-09 23:28:00
-0.104249,-0.131768,-0.489905,2024-05-09 23:29:00
-0.108261,-0.127178,-0.489899,2024-05-09 23:30:00
-0.121221,-0.11696,-0.501083,2024-05-09 23:31:00
-0.116503,-0.115414,-0.493932,2024-05-09 23:32:00
-0.126884,-0.105229,-0.499042,2024-05-09 23:33:00
-0.14378,-0.0904688,-0.50252,2024-05-09 23:34:00
-0.147436,-0.0819368,-0.474,2024-05-09 23:35:00
-0.124155,-0.124282,-0.494265,2024-05-09 23:36:00
-0.138864,-0.0841328,-0.4442,2024-05-09 23:37:00
-0.118338,-0.11716,-0.503194,2024-05-09 23:38:00
-0.148578,-0.0741313,-0.422699,2024-05-09 23:39:00
-0.115728,-0.103888,-0.468688,2024-05-09 23:40:00
-0.138814,-0.075268,-0.392863,2024-05-09 23:41:00
-0.134094,-0.0820246,-0.448899,2024-05-09 23:42:00
-0.158958,-0.0575132,-0.377016,2024-05-09 23:43:00
-0.161812,-0.0607745,-0.413507,2024-05-09 23:44:00
-0.158697,-0.0567876,-0.369456,2024-05-09 23:45:00
-0.168727,-0.0478707,-0.363661,2024-05-09 23:46:00
