Date,H
0.000000000000,-2156.139699052574
0.036951501155,-2105.431450863831
0.184757505774,-2142.734070221068
0.332563510393,-2145.065483930894
0.480369515012,-2108.928571428572
0.628175519630,-2094.357235742153
0.775981524249,-2090.860115177411
0.917189046519,-2052.225259414559
1.014846585285,-1973.623311483241
1.095947931976,-1868.739972641142
1.214780600462,-1891.524242987183
1.285912240185,-1937.919375812744
1.421606363870,-1932.323982909160
1.564280215550,-1910.952690569076
1.662817551963,-1823.680104031209
1.755196304850,-1744.645179268067
1.903002309469,-1704.428292773548
2.050808314088,-1704.428292773548
2.198614318707,-1660.947427085270
2.226327944573,-1581.679360951144
2.297921478060,-1493.435352034183
2.364896073903,-1416.498699609883
2.512702078522,-1431.070035296303
2.577367205543,-1510.671160531832
2.630741596100,-1604.371787726794
2.731331793687,-1684.676037731955
2.882217090069,-1694.519784506781
3.030023094688,-1696.851198216609
3.177829099307,-1710.839680475572
3.325635103926,-1723.079602452164
3.473441108545,-1744.062325840610
3.621247113164,-1772.622143785993
3.769053117783,-1793.022013746982
3.916859122402,-1825.078952257107
4.064665127021,-1853.055916775033
4.212471131640,-1839.067434516070
4.364476170481,-1863.229358417915
4.495486038211,-1804.308175569555
4.572748267898,-1747.209734348879
4.676212471132,-1776.585547092700
4.705157813703,-1744.256610316428
4.863433410316,-1777.828967737942
4.994331303800,-1819.992231435666
5.082151105246,-1840.399670921684
5.210161662818,-1805.553362437304
5.302540415704,-1811.090469998144
5.348729792148,-1892.948995809855
5.438469152095,-1933.656219314775
5.513331933655,-1875.098373667945
5.593953390720,-1995.484099775389
5.684372594303,-2048.117530497246
5.760739030023,-1945.846182426158
5.837310751860,-2064.437426466036
5.882846945203,-2136.216709168595
6.018895654000,-2153.596338641853
6.075442648191,-2160.802526472229
6.174595842956,-2108.578859372099
6.331303800126,-2138.760069579317
6.474329365784,-2200.257220023152
6.614318706697,-2185.282370425413
6.769309725430,-2126.090366792580
6.909930715935,-2086.197287757757
6.987386747202,-2321.371173256743
7.008188116733,-2170.128181311537
7.070053887606,-2222.196420831011
7.150115473441,-2093.524587988642
7.162432640493,-2185.670939377052
7.238535136919,-2276.040975557975
7.304519960409,-2378.623178790373
7.350269438029,-2401.715276487708
7.453645661498,-2365.047055418863
7.593533487298,-2417.840887980681
7.713625866051,-2413.527772617499
7.753936594583,-2349.536017267767
7.881227317717,-2356.641278097715
8.000000000000,-2432.995077094558
8.036951501155,-2334.492847854357
8.145496535797,-2372.378320639049
8.189889658712,-2321.411026482549
